"","Municipio","Ciclos_Presentes","Data_Plantio","Prob_Sucesso","Prob_fracasso","Qtd_El_Nino","Qtd_La_Nina","Qtd_Neutro","P_Suc_El_Nino","P_Suc_La_Nina","P_Suc_Neutro","Média_Ponderada"
"140","SANTO ANTONIO DA BARRA",57,"11-10",1,0,15,15,27,1,1,1,1
"141","SANTO ANTONIO DA BARRA",57,"21-10",1,0,14,13,30,1,1,1,1
"142","SANTO ANTONIO DA BARRA",57,"01-11",1,0,15,12,30,1,1,1,1
"143","SANTO ANTONIO DA BARRA",57,"11-11",1,0,13,14,30,1,1,1,1
"144","SANTO ANTONIO DA BARRA",57,"21-11",1,0,12,15,30,1,1,1,1
"145","SITIO DABADIA",55,"01-09",0.96,0.04,13,15,29,0.92,1,0.97,0.97
"146","SITIO DABADIA",54,"11-09",0.95,0.05,16,14,27,1,1,0.89,0.95
"147","SITIO DABADIA",52,"21-09",0.91,0.09,16,13,28,0.94,1,0.86,0.91
"148","SITIO DABADIA",50,"01-10",0.88,0.12,14,16,27,0.93,0.94,0.81,0.88
"149","SITIO DABADIA",50,"11-10",0.88,0.12,12,14,31,0.92,0.93,0.84,0.88
"150","SITIO DABADIA",50,"21-10",0.88,0.12,15,15,27,0.93,0.93,0.81,0.87
"151","SITIO DABADIA",50,"01-11",0.88,0.12,13,14,30,0.92,0.93,0.83,0.88
"152","SITIO DABADIA",50,"11-11",0.88,0.12,12,17,28,0.92,0.94,0.82,0.88
"153","SITIO DABADIA",50,"21-11",0.88,0.12,13,14,30,0.92,0.93,0.83,0.88
"154","SANTA HELENA DE GOIAS",56,"01-09",0.98,0.02,15,13,29,1,1,0.97,0.98
"155","SANTA HELENA DE GOIAS",56,"11-09",0.98,0.02,14,13,30,1,1,0.97,0.98
"156","SANTA HELENA DE GOIAS",55,"21-09",0.96,0.04,13,14,30,1,0.93,0.97,0.97
"157","SANTA HELENA DE GOIAS",55,"01-10",0.96,0.04,12,17,28,1,1,0.93,0.97
"158","SANTA HELENA DE GOIAS",55,"11-10",0.96,0.04,15,15,27,1,1,0.93,0.97
"159","SANTA HELENA DE GOIAS",55,"21-10",0.96,0.04,13,14,30,1,1,0.93,0.96
"160","SANTA HELENA DE GOIAS",55,"01-11",0.96,0.04,12,14,31,1,0.93,0.97,0.97
"161","SANTA HELENA DE GOIAS",56,"11-11",0.98,0.02,8,13,36,1,0.92,1,0.98
"162","SANTA HELENA DE GOIAS",56,"21-11",0.98,0.02,8,13,36,1,0.92,1,0.98
"163","ITAPACI",57,"01-09",1,0,14,13,30,1,1,1,1
"164","ITAPACI",57,"11-09",1,0,14,14,29,1,1,1,1
"165","ITAPACI",57,"21-09",1,0,13,17,27,1,1,1,1
"166","ITAPACI",57,"01-10",1,0,15,14,28,1,1,1,1
"167","ITAPACI",57,"11-10",1,0,13,13,31,1,1,1,1
"168","ITAPACI",57,"21-10",1,0,15,14,28,1,1,1,1
"169","ITAPACI",57,"01-11",1,0,12,14,31,1,1,1,1
"170","ITAPACI",57,"11-11",1,0,13,15,29,1,1,1,1
"171","ITAPACI",57,"21-11",1,0,14,13,30,1,1,1,1
